Time [s],SheepS0,Sheep1,Sheep2
19.930334990,1,0,1
19.930335088,1,1,1
20.030320268,0,0,1
20.030320366,0,0,0
20.030333360,0,0,1
20.030333378,1,0,1
20.030333500,1,1,1
20.130318270,0,1,1
20.130318456,0,0,1
20.130318930,0,0,0
20.130331724,0,0,1
20.130331736,1,0,1
20.130331834,1,1,1
20.230316572,0,1,1
20.230316946,0,1,0
20.230317024,0,0,0
20.230330114,1,0,0
20.230330140,1,0,1
20.230330258,1,1,1
20.330314900,0,1,1
20.330315082,0,0,1
20.330315652,0,0,0
20.330328496,1,0,0
20.330328514,1,0,1
20.330328626,1,1,1
20.430313376,0,1,1
20.430313422,0,0,1
20.430314534,0,0,0
20.430326888,1,0,0
20.430326890,1,0,1
20.430327014,1,1,1
20.530311722,1,0,1
20.530311930,0,0,1
20.530312526,0,0,0
20.530325258,0,0,1
20.530325260,1,0,1
20.530325394,1,1,1
20.630310114,0,1,1
20.630310578,0,0,1
20.630311022,0,0,0
20.630323634,0,0,1
20.630323670,1,0,1
20.630323766,1,1,1
20.730308154,1,1,0
20.730308406,0,1,0
20.730308954,0,0,0
20.730322046,1,0,0
20.730322136,1,0,1
20.730322174,1,1,1
20.830306808,0,1,1
20.830307284,0,0,1
20.830307616,0,0,0
20.830320370,0,0,1
20.830320406,1,0,1
20.830320536,1,1,1
20.930305016,0,1,1
20.930305348,0,1,0
20.930305396,0,0,0
20.930318778,1,0,1
20.930318916,1,1,1
21.030303630,1,0,1
21.030304016,1,0,0
21.030304470,0,0,0
21.030317138,0,0,1
21.030317178,1,0,1
21.030317284,1,1,1
21.130301996,0,1,1
21.130302838,0,0,1
21.130303352,0,0,0
21.130315518,0,0,1
21.130315552,1,0,1
21.130315682,1,1,1
21.230300284,0,1,1
21.230300546,0,0,1
21.230301046,0,0,0
21.230313916,0,0,1
21.230313924,1,0,1
21.230314094,1,1,1
21.330298742,0,1,1
21.330298900,0,1,0
21.330299036,0,0,0
21.330312284,0,0,1
21.330312342,1,0,1
21.330312440,1,1,1
21.430297450,1,0,1
21.430297456,0,0,1
21.430298770,0,0,0
21.430310664,0,0,1
21.430310684,1,0,1
21.430310838,1,1,1
21.530295190,1,1,0
21.530295946,0,1,0
21.530296156,0,0,0
21.530309040,0,0,1
21.530309102,1,0,1
21.530309212,1,1,1
21.630293948,0,1,1
21.630293992,0,1,0
21.630294200,0,0,0
21.630307428,0,0,1
21.630307458,1,0,1
21.630307574,1,1,1
21.730292058,0,1,1
21.730292092,0,1,0
21.730292892,0,0,0
21.730305826,1,0,0
21.730305828,1,0,1
21.730305998,1,1,1
21.830290620,0,1,1
21.830290866,0,0,1
21.830291240,0,0,0
21.830304210,0,0,1
21.830304218,1,0,1
21.830304348,1,1,1
21.930289088,0,1,1
21.930289344,0,1,0
21.930289948,0,0,0
21.930302574,0,0,1
21.930302602,1,0,1
21.930302732,1,1,1
22.030287618,1,0,1
22.030288052,0,0,1
22.030288072,0,0,0
22.030300974,0,0,1
22.030301000,1,0,1
22.030301274,1,1,1
22.130286192,1,1,0
22.130286388,1,0,0
22.130286692,0,0,0
22.130299360,0,0,1
22.130299386,1,0,1
22.130299504,1,1,1
22.230284286,0,1,1
22.230284728,0,0,1
22.230284976,0,0,0
22.230297734,1,0,0
22.230297740,1,0,1
22.230297876,1,1,1
22.330282564,0,1,1
22.330282678,0,0,1
22.330283046,0,0,0
22.330296120,1,0,0
22.330296168,1,0,1
22.330296266,1,1,1
22.430281012,0,1,1
22.430281672,0,0,1
22.430282398,0,0,0
22.430294520,1,0,0
22.430294558,1,0,1
22.430294638,1,1,1
22.530279668,1,0,1
22.530279746,0,0,1
22.530280230,0,0,0
22.530292906,1,0,0
22.530292958,1,0,1
22.530293046,1,1,1
22.630277710,0,1,1
22.630278394,0,1,0
22.630278572,0,0,0
22.630291266,1,0,0
22.630291342,1,0,1
22.630291400,1,1,1
22.730275898,1,1,0
22.730275922,0,1,0
22.730276086,0,0,0
22.730289642,1,0,0
22.730289736,1,0,1
22.730289804,1,1,1
22.830273894,0,1,1
22.830274934,0,0,1
22.830275134,0,0,0
22.830288052,1,0,0
22.830288140,1,0,1
22.830288196,1,1,1
22.930272686,1,1,0
22.930272836,0,1,0
22.930273744,0,0,0
22.930286426,1,0,0
22.930286508,1,0,1
22.930286538,1,1,1
23.030271918,1,1,0
23.030272028,1,0,0
23.030272244,0,0,0
23.030284796,1,0,0
23.030284866,1,0,1
23.030284934,1,1,1
23.130269408,0,1,1
23.130269816,0,0,1
23.130270216,0,0,0
23.130283188,1,0,0
23.130283294,1,0,1
23.130283322,1,1,1
23.230268056,0,1,1
23.230268104,0,0,1
23.230269292,0,0,0
23.230281570,1,0,0
23.230281668,1,0,1
23.230281694,1,1,1
23.330266414,0,1,1
23.330266884,0,1,0
23.330267100,0,0,0
23.330279924,1,0,0
23.330280052,1,0,1
23.330280094,1,1,1
23.430265012,0,1,1
23.430265308,0,0,1
23.430266200,0,0,0
23.430278318,1,0,0
23.430278442,1,0,1
23.430278458,1,1,1
23.530263134,1,0,1
23.530263524,0,0,1
23.530264076,0,0,0
23.530276680,1,0,0
23.530276808,1,0,1
23.530276860,1,1,1
23.630260880,0,1,1
23.630261420,0,0,1
23.630262306,0,0,0
23.630275084,1,0,0
23.630275168,1,0,1
23.630275238,1,1,1
23.730259930,0,1,1
23.730259950,0,1,0
23.730260234,0,0,0
23.730273432,1,0,0
23.730273582,1,0,1
23.730273616,1,1,1
23.830258342,0,1,1
23.830258742,0,0,1
23.830259036,0,0,0
23.830271810,1,0,0
23.830271934,1,0,1
23.830271956,1,1,1
23.930256526,1,0,1
23.930256600,0,0,1
23.930256612,0,0,0
23.930270196,1,0,0
23.930270310,1,0,1
23.930270384,1,1,1
24.030254892,1,0,1
24.030255386,1,0,0
24.030255558,0,0,0
24.030268598,1,0,0
24.030268656,1,0,1
24.030268742,1,1,1
24.130253388,1,0,1
24.130253532,0,0,1
24.130254018,0,0,0
24.130266954,1,0,0
24.130267048,1,0,1
24.130267126,1,1,1
24.230251626,1,1,0
24.230251708,0,1,0
24.230251784,0,0,0
24.230265352,1,0,0
24.230265414,1,0,1
24.230265514,1,1,1
24.330250172,0,1,1
24.330250246,0,0,1
24.330250262,0,0,0
24.330263724,1,0,0
24.330263770,1,0,1
24.330263886,1,1,1
24.430248594,0,1,1
24.430249238,0,1,0
24.430249538,0,0,0
24.430262116,1,0,0
24.430262152,1,0,1
24.430262268,1,1,1
24.530246908,1,0,1
24.530247096,1,0,0
24.530247162,0,0,0
24.530260492,1,0,0
24.530260494,1,0,1
24.530260632,1,1,1
24.630245192,1,0,1
24.630245324,1,0,0
24.630245334,0,0,0
24.630258844,1,0,0
24.630258876,1,0,1
24.630259010,1,1,1
24.730243590,1,0,1
24.730243696,0,0,1
24.730244856,0,0,0
24.730257212,0,0,1
24.730257248,1,0,1
24.730257404,1,1,1
24.830241804,1,0,1
24.830242120,0,0,1
24.830242860,0,0,0
24.830255584,0,0,1
24.830255632,1,0,1
24.830255774,1,1,1
24.930240328,1,1,0
24.930240424,1,0,0
24.930240438,0,0,0
24.930253980,0,0,1
24.930253992,1,0,1
24.930254152,1,1,1
25.030238658,1,0,1
25.030239050,1,0,0
25.030239748,0,0,0
25.030252360,0,0,1
25.030252390,1,0,1
25.030252508,1,1,1
25.130237264,0,1,1
25.130237394,0,1,0
25.130237946,0,0,0
25.130250728,0,0,1
25.130250736,1,0,1
25.130250898,1,1,1
25.230235350,1,0,1
25.230235414,0,0,1
25.230235798,0,0,0
25.230249092,0,0,1
25.230249136,1,0,1
25.230249294,1,1,1
25.330233336,1,0,1
25.330233924,0,0,1
25.330234006,0,0,0
25.330247474,0,0,1
25.330247522,1,0,1
25.330247668,1,1,1
25.430232262,1,0,1
25.430232450,0,0,1
25.430233334,0,0,0
25.430245842,0,0,1
25.430245874,1,0,1
25.430246026,1,1,1
25.530230594,1,0,1
25.530230656,0,0,1
25.530230780,0,0,0
25.530244202,0,0,1
25.530244254,1,0,1
25.530244406,1,1,1
25.630228468,0,1,1
25.630228698,0,0,1
25.630229422,0,0,0
25.630242578,0,0,1
25.630242670,1,0,1
25.630242778,1,1,1
25.730226858,0,1,1
25.730228060,0,0,1
25.730228102,0,0,0
25.730240936,0,0,1
25.730241016,1,0,1
25.730241186,1,1,1
25.830225578,1,0,1
25.830225842,0,0,1
25.830226020,0,0,0
25.830239302,0,0,1
25.830239388,1,0,1
25.830239560,1,1,1
25.930223880,1,1,0
25.930224178,0,1,0
25.930224194,0,0,0
25.930237720,0,0,1
25.930237778,1,0,1
25.930237924,1,1,1
26.030222364,1,0,1
26.030222554,1,0,0
26.030223184,0,0,0
26.030236102,0,0,1
26.030236176,1,0,1
26.030236304,1,1,1
26.130221002,0,1,1
26.130221224,0,1,0
26.130221848,0,0,0
26.130234486,0,0,1
26.130234556,1,0,1
26.130234696,1,1,1
26.230219308,1,0,1
26.230219324,1,0,0
26.230219382,0,0,0
26.230232868,0,0,1
26.230232938,1,0,1
26.230233080,1,1,1
26.330217668,1,0,1
26.330217708,1,0,0
26.330217738,0,0,0
26.330231264,0,0,1
26.330231298,1,0,1
26.330231454,1,1,1
26.430216058,1,0,1
26.430216198,0,0,1
26.430216990,0,0,0
26.430229638,0,0,1
26.430229666,1,0,1
26.430229786,1,1,1
26.530214364,1,0,1
26.530214840,1,0,0
26.530214960,0,0,0
26.530228016,0,0,1
26.530228032,1,0,1
26.530228178,1,1,1
26.630212658,1,0,1
26.630212922,0,0,1
26.630212934,0,0,0
26.630226386,0,0,1
26.630226432,1,0,1
26.630226516,1,1,1
26.730211062,1,0,1
26.730211212,0,0,1
26.730211392,0,0,0
26.730224790,0,0,1
26.730224810,1,0,1
26.730224874,1,1,1
26.830209434,0,1,1
26.830209498,0,0,1
26.830209920,0,0,0
26.830223178,0,0,1
26.830223200,1,0,1
26.830223270,1,1,1
26.930207952,0,1,1
26.930208172,0,0,1
26.930208444,0,0,0
26.930221548,1,0,0
26.930221572,1,0,1
26.930221590,1,1,1
27.030206406,1,0,1
27.030206574,1,0,0
27.030206986,0,0,0
27.030219936,1,0,0
27.030219956,1,0,1
27.030219996,1,1,1
27.130204830,0,1,1
27.130205048,0,1,0
27.130205836,0,0,0
27.130218300,1,0,0
27.130218314,1,1,0
27.130218344,1,1,1
27.230203240,0,1,1
27.230203300,0,0,1
27.230203480,0,0,0
27.230216698,0,0,1
27.230216702,0,1,1
27.230216710,1,1,1
27.330201494,1,0,1
27.330201540,0,0,1
27.330201660,0,0,0
27.330215052,1,0,0
27.330215060,1,1,0
27.330215116,1,1,1
27.430199864,1,0,1
27.430199940,0,0,1
27.430200720,0,0,0
27.430213416,0,1,0
27.430213432,1,1,0
27.430213464,1,1,1
27.530198138,1,0,1
27.530198206,0,0,1
27.530198328,0,0,0
27.530211826,0,1,0
27.530211846,1,1,0
27.530211886,1,1,1
27.630196374,1,0,1
27.630196670,0,0,1
27.630196804,0,0,0
27.630210194,0,1,0
27.630210222,1,1,0
27.630210270,1,1,1
27.730194164,1,0,1
27.730194418,0,0,1
27.730195164,0,0,0
27.730208582,1,0,0
27.730208590,1,1,0
27.730208650,1,1,1
27.830193118,1,0,1
27.830193404,0,0,1
27.830194214,0,0,0
27.830206926,0,1,0
27.830206954,1,1,0
27.830207028,1,1,1
27.930191480,1,0,1
27.930191606,0,0,1
27.930191754,0,0,0
27.930205296,0,1,0
27.930205332,1,1,0
27.930205414,1,1,1
28.030189796,1,0,1
28.030190298,0,0,1
28.030190712,0,0,0
28.030203692,0,1,0
28.030203742,1,1,0
28.030203772,1,1,1
28.130188234,1,0,1
28.130188506,0,0,1
28.130189070,0,0,0
28.130202056,0,1,0
28.130202106,1,1,0
28.130202190,1,1,1
28.230186664,1,0,1
28.230186946,0,0,1
