origin;component;range;v_error_mean_mV;v_error_max_mV;v_error_std_mV;c_error_mean_mA;c_error_max_mA;c_error_std_mA
sheep0_cape_v230c1_profile_43_short_A16V_rmL;HRV;full;1,0402430385964714;11,91000000000031;2,786250670704168;0,0090928509026064;0,140980868449552;0,0107236393500633
sheep0_cape_v230c1_profile_43_short_A16V_rmL;HRV;limited;0,2196938775509558;0,6899999999996353;0,193097500728641;0,005526515005403;0,0546868944812858;0,0054472164863906
sheep0_cape_v230c1_profile_44_short_ADC_NAP;EMU_A;full;24,406913417543755;742,3099999999998;95,75007885718072;0,0239590664305581;1,5313939160559094;0,1163205911083904
sheep0_cape_v230c1_profile_44_short_ADC_NAP;EMU_A;limited;0,2151020408164231;0,7399999999999629;0,1843590474101904;0,0076627840127679;0,0871759891972814;0,0062667308011558
sheep0_cape_v230c1_profile_44_short_ADC_NAP;HRV;full;1,1728382526315468;13,390000000000237;3,2167899952020584;0,0084885239405461;0,1433259221822833;0,01053581009341
sheep0_cape_v230c1_profile_44_short_ADC_NAP;HRV;limited;0,2262244897958538;0,7500000000000284;0,2066225852520163;0,005082125593172;0,0555260851287237;0,0050306978054612
sheep0_cape_v230c1_profile_45_short_6V_shortL;EMU_A;full;24,4624912912278;741,7199999999999;95,92818656401369;0,0237839787198735;1,5267781957879616;0,1159880103060038
sheep0_cape_v230c1_profile_45_short_6V_shortL;EMU_A;limited;0,2097959183674391;0,6300000000001305;0,1757954582372091;0,0076101710755955;0,0867325047933104;0,0062225947591712
sheep0_cape_v230c1_profile_45_short_6V_shortL;HRV;full;1,210243494736831;14,120000000000132;3,363016506436669;0,0084077682570014;0,143347586340453;0,010530553184022
sheep0_cape_v230c1_profile_45_short_6V_shortL;HRV;limited;0,2269387755101503;0,6999999999997009;0,1969015609320071;0,005044319384337;0,0559625972637867;0,0050137001435884
sheep0_cape_v230c1_profile_46_short_emu_R10_100R;EMU_A;full;24,17341508771954;733,2099999999997;95,16559075243072;0,0236778035109598;1,5024827637602394;0,1139889743504411
sheep0_cape_v230c1_profile_46_short_emu_R10_100R;EMU_A;limited;0,2113265306123546;0,6500000000002615;0,1849800842340922;0,0078160666715012;0,0946409709408971;0,0063350494388461
sheep0_cape_v230c1_profile_47_short_emu_R8_100R;EMU_A;full;24,292803604210537;737,2300000000002;94,74975290079666;0,5096166980249568;2,6716476810152368;0,3843170971494287
sheep0_cape_v230c1_profile_47_short_emu_R8_100R;EMU_A;limited;0,2939795918367571;1,7900000000001803;0,2408180899351193;0,4941165423930386;1,803273691235068;0,3052018713391786
sheep0_cape_v230c1_profile_48_short_emu_R8_2k;EMU_A;full;24,365069350876983;739,8100000000003;95,73364711051045;0,0102198322356592;0,8937227780585807;0,0411946866999258
sheep0_cape_v230c1_profile_48_short_emu_R8_2k;EMU_A;limited;0,2073469387756318;0,6300000000001305;0,1809699076231833;0,007079523884544;0,0807884251875085;0,0061774605003235
